name	glass-size (oz)	category		measurement-1	Units	ingredient-1	measurement-2	units	ingredient-2	measurement-3	units	ingredient-3	measurement-4	units	ingredient-4	Measurement-5	Units	ingredient-5	measurement-6	units	ingredient-6	special ingredients	instructions	glass	glass-size (oz)
Adam and Eve	6	Cocktail Classics		1	oz	 Forbidden Fruit	1	oz	 Gin	1	oz	 Brandy	1	oz	 Lemon Juice								Shake well with cracked ice and strain into cocktail glass.	Cocktail Glass	6
Vodka Sling	6	Vodka		2	oz	 Vodka	1	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup										Orange Twist	"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Garnish with an orange twist."	Old-Fashioned Glass	6
Jack Rose Cocktail	6	Brandy		1.5	oz	 Applejack	0.5	oz	 Fresh Lime Juice	0.25	oz	 Grenadine											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Tempter Cocktail	6	Cocktail Classics		1	oz	 Port	1	oz	 Apricot Flavored Brandy														Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Special Rough Cocktail	6	Cocktail Classics		1.5	oz	 Apple Brandy	1.5	oz	 Brandy	0.5	oz	 Anisette											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Vodka Grasshopper	6	Vodka		0.75	oz	 Vodka	0.75	oz	 Green creme de menthe	0.75	oz	 White creme de cacao	0.75	oz	 half-and-half								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Singapore Sling	14	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	2	oz	 Gin	1	count	 Club Soda	0.50	oz	 cherry-flavored brandy				Pineapple Slice	"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Top with cherry-flavored brandy. Garnish with pineapple slice and serve with straws."	Collins Glass	14
Saratoga Cocktail	6	Cocktail Classics		2	oz	 Brandy	2	oz	 Bitters	1	oz	 Lemon Juice	1	oz	 Pineapple Juice	0.50	oz	 Maraschino					Shake with ice and strain into cocktail glass.	Cocktail Glass	6
High Cotton	6	Whiskies		2	oz	 Straight rye whiskey	0.5	oz	 Pimm's No. 1 Cup	0.5	oz	 Dubonnet Rouge	2	oz	 Peach bitters							"Lemon Slice, Mint"	Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice and mint.	Cocktail Glass	6
Polonaise	6	Cocktail Classics		1.5	oz	 Brandy	1	oz	 Blackberry-flavored brandy	0.5	oz	 Dry Sherry	1	oz	 Lemon Juice								Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Vodka Gimlet	6	Vodka		1.5	oz	 Vodka	1	oz	 Fresh Lime Juice	0.5	oz	 Simple Syrup											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Merry Widow Cocktail No. 2	6	Cocktail Classics		1.25	oz	 Maraschino	1.25	oz	 cherry-flavored brandy													Cherry	Stir with ice and strain into cocktail glass. Serve with a cherry.	Cocktail Glass	6
Lugger	6	Cocktail Classics		1	oz	 Brandy	1	oz	 Apple Brandy	1	oz	 Apricot Flavored Brandy											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Jamaica Hop	6	Cocktail Classics		1	oz	 Coffee-flavored brandy	1	oz	 Creme de Cacao (White)	1	oz	 Light cream											Shake well with ice and strain into cocktail glass.	Cocktail Glass	6
Hebrides	14	Whiskies		1.5	oz	 Single-malt Scotch whisky	0.5	oz	 Maraschino liqueur	0.5	oz	 Triple Sec	2	oz	 Apple juice	0.50	oz	 Fresh lemon juice	1	count	 Angostura Bitters		Pour into ice-filled Collins glass and stir.	Collins Glass	14
Hennessy Martini	6	Cocktail Classics		2	oz	 Hennessy V.S Cognac	0.5	oz	 Lemon Juice													Lemon Twist	"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with a lemon twist."	Cocktail Glass	6
Vodka Daisy	10	Vodka		2	oz	 Vodka	1	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup	1	oz	 Grenadine							Seasonal Fruit	Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with seasonal fruit.	Beer Mug	10
Heavenly Dram	6	Whiskies		2	oz	 Single-malt Scotch whisky	0.5	oz	 Pedro Ximenez sherry	0.75	oz	 Fresh lemon juice	0.25	oz	 Honey Syrup							Lemon Twist	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Classic Cocktail	6	Cocktail Classics		0.25	oz	 Juice of a Lemon	1.5	oz	 Curacao	1.5	oz	 Maraschino	1	oz	 Brandy							Powdered Sugar	Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.	Old-Fashioned Glass	6
Cherry Sling	6	Cocktail Classics		2	oz	 cherry-flavored brandy	0.5	oz	 Juice of a Lemon													Lemon Twist	Serve in old-fashioned glass filled with ice cubes and stir. Garnish with a lemon twist.	Old-Fashioned Glass	6
Cherry Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	2	oz	 cherry-flavored brandy	1	oz	 Club Soda										Cherry	Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and garnish with a cherry.	Highball Glass	7
Vodka Cooler	14	Vodka		2	oz	 Vodka	0.5	oz	 Simple Syrup	1	oz	 Soda water or ginger ale										"Orange Twist, Lemon Twist"	Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Garnish with an orange twist or a lemon twist.	Collins Glass	14
Carrol Cocktail	6	Cocktail Classics		1.5	oz	 Brandy	0.75	oz	 Sweet Vermouth													Cherry	Stir with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Button Hook Cocktail	6	Cocktail Classics		0.5	oz	 Creme de Menthe (White)	0.5	oz	 Apricot Flavored Brandy	0.5	oz	 Anisette	0.5	oz	 Brandy								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Bull's Eye	7	Cocktail Classics		1	oz	 Brandy	2	oz	 Hard cider	1	oz												Pour into highball glass over ice cubes and fill with ginger ale. Stir.	Highball Glass	7
Brantini	6	Cocktail Classics		1.5	oz	 Brandy	1	oz	 Gin	1	oz	 Dry Vermouth										Lemon Twist	Stir with cracked ice and strain into old-fashioned glass with cubed ice. Garnish with a lemon twist	Old-Fashioned Glass	6
Heather's Kiss	6	Whiskies		2.25	oz	 Blended Scotch Whiskey	0.5	oz	 Fresh lemon juice	0.25	oz	 Agave nectar	1	oz	 Absinthe							Applie Slice	Shake with ice strain into chilled cocktail glass. Garnish with an apple slice.	Cocktail Glass	6
Brandy Squirt	7	Cocktail Classics		1.5	oz	 Brandy	1	oz	 Powdered Sugar	1	oz	 Grenadine	1	count	 Club Soda							"Pineapple Slice, Strawberry"	Shake with ice and strain into highball glass and fill with club soda. Garnish with a pineapple slice and a strawberry.	Highball Glass	7
Brandy and Soda	14	Cocktail Classics		2	oz	 Brandy	1	oz	 Club Soda														Pour brandy into collins glass with ice cubes. Fill with club soda.	Collins Glass	14
Brandy Milk Punch	14	Cocktail Classics		1	oz	 Powdered Sugar	2	oz	 Brandy	1	oz	 Milk										Nutmeg	"Shake with ice, strain into collins glass, and top with nutmeg."	Collins Glass	14
Vodka Collins	14	Vodka		2	oz	 Vodka	0.75	oz	 Fresh lemon juice	0.75	oz	 Simple Syrup	1	count	 Soda water							"Lemon Slice, Orange Slice, Cherry"	"Shake vodka, lemon juice, and syrup and strain into ice-filled Collins glass. Fill with soda water and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with a straw."	Collins Glass	14
Brandy Crusta Cocktail	6	Cocktail Classics		1	oz	 Maraschino	1	oz	 Bitters	1	oz	 Lemon Juice	0.5	oz	 Triple Sec	2.00	oz	 Brandy				"Orange Slice, Lemon Twist, Sugar"	Moisten the edge of a cocktail glass with lemon and dip into sugar. Place lemon twist in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Garnish with an orange slice.	Cocktail Glass	6
Heather Blush	6	Whiskies		1	oz	 Blended Scotch Whiskey	1	oz	 Strawberry liqueur	3	oz	 Chilled sparkling wine										Strawberry	Pour Scotch and liqueur into chilled champagne flute. Top with sparkling wine. Garnish with a strawberry.	Champagne Flute	6
Jack Maples	6	Brandy		2	oz	 Applejack	1	oz	 maple syrup (grade B or medium-amber)	1	oz	 Aromatic bitters										Cinnamon Stick	Stir with ice and strain into cocktail glass. Garnish with a cinnamon stick.	Cocktail Glass	6
Brandy Alexander	6	Cocktail Classics		0.5	oz	 Creme de Cacao (Brown)	0.5	oz	 Brandy	0.5	oz	 Heavy cream											Shake well with cracked ice and strain into cocktail glass.	Cocktail Glass	6
Vodka and Tonic	7	Vodka		2	oz	 Vodka	1	oz	 Tonic water	1	oz	 Lemon or lime wedge										"Lemon Slice, Lime Slice"	Pour vodka into highball glass over ice. Add tonic and stir. Garnish with a lemon slice or a lime slice.	Highball Glass	7
Apricot Cocktail	6	Cocktail Classics		0.25	oz	 Juice of a Lemon	0.25	oz	 Juice of Orange	1.5	oz	 Apricot Flavored Brandy	1	oz	 Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Alexander Cocktail No. 2	6	Cocktail Classics		1	oz	 Creme de Cacao (White)	1	oz	 Brandy	1	oz	 Light cream										Nutmeg	Shake with ice and strain into cocktail glass. Top with nutmeg.	Cocktail Glass	6
After Dinner Cocktail	6	Cocktail Classics		1	oz	 Apricot Flavored Brandy	1	oz	 Triple Sec	1	oz	 Juice of a Lime										Lime Slice	Shake with ice and strain into cocktail glass. Garnish with a lime slice.	Cocktail Glass	6
Harvest Moon	6	Whiskies		1.5	oz	 Straight rye whiskey	1	oz	 Lillet Blanc	0.5	oz	 Apple Brandy	0.25	oz	 Green Chartreuse	1.00	oz	 Angostura Bitters				Orange Twist	Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.	Cocktail Glass	6
Red Raider	6	Cocktail Classics		1	oz	 Bourbon	0.5	oz	 Triple Sec	1	oz	 Lemon Juice	1	oz	 Grenadine								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Vodka and Apple Juice	7	Vodka		2	oz	 Vodka	1	oz	 Apple juice														Pour vodka into ice-filled highball glass. Fill with apple juice and stir.	Highball Glass	7
Mint Julep (Southern Style)	14	Cocktail Classics		5	oz	springs mint	1	oz	 Powdered Sugar	2	oz	 Water	2.25	oz	 Bourbon							Mint	"In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Garnish with mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste."	Collins Glass	14
Limestone	7	Cocktail Classics		1.5	oz	 Bourbon	1	oz	 Collins Mix	1	oz	 Lime Juice											"Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste."	Highball Glass	7
Grounds For Divorce	6	Whiskies		1.5	oz	 Straight rye whiskey	0.75	oz	 Kirschwasser	0.25	oz	 Cynar	0.5	oz	 Amaro							Orange Twist	Stir and strain into chilled cocktail glass. Garnish with an orange twist.	Cocktail Glass	6
Gentleman's Cocktail	7	Cocktail Classics		1.5	oz	 Bourbon	0.5	oz	 Brandy	0.5	oz	 Creme de Menthe	1	count	 Club Soda							Lemon Twist	"Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist."	Highball Glass	7
Dixie Julep	14	Cocktail Classics		1	oz	 Powdered Sugar	2.25	oz	 Bourbon													Mint	Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Garnish with mint. Serve with straws.	Collins Glass	14
Victory Collins	14	Vodka		1.5	oz	 Vodka	2	oz	 Unsweetened Grape Juice	1	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup							Orange Slice	Shake with ice and strain into ice-filled Collins glass. Garnish with an orange slice.	Collins Glass	14
Buddy's Favorite	7	Cocktail Classics		1.5	oz	 Bourbon	6	oz	 Cold Water														Pour ingredients into highball glass. Stir and serve without ice.	Highball Glass	7
Bourbon On The Rocks	6	Cocktail Classics		2	oz	 Bourbon																	Pour bourbon into old-fashioned glass half-filled with ice.	Old-Fashioned Glass	6
Bourbon Cobbler	6	Cocktail Classics		2.5	oz	Bourbon	1	oz	 Lemon Juice	2	oz	 Grapefruit Juice	1.5	oz	 Almond extract							Peach Slice	"Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Garnish with a peach slice."	Old-Fashioned Glass	6
Bourbon and Water	6	Cocktail Classics		2	oz	 Bourbon	4	oz	 Water													Lemon Twist	"Pour bourbon and water into old-fashioned glass. Add ice and garnish with a lemon twist, if desired, and stir."	Old-Fashioned Glass	6
Greenpoint	6	Whiskies		2	oz	 Straight rye whiskey	0.5	oz	 Yellow Chartreuse	0.5	oz	 Sweet Vermouth	1	oz	 Angostura Bitters	1.00	oz	 Orange Bitters				Lemon Twist	Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Yellowjacket	6	Non-alcoholic Drinks		2	oz	 Pineapple Juice	2	oz	 Orange Juice	0.5	oz	 Lemon Juice										Lemon Slice	Shake with old-fashioned glass filled with ice cubes. Garnish with a lemon slice.	Old-Fashioned Glass	6
Velvet Peach Hammer	6	Vodka		1.75	oz	 Vodka	0.75	oz	 Peach schnapps	0.25	oz	 Simple Syrup	0.5	oz	 Fresh lemon juice			 Peach slice				Peach Slice	Pour vodka and schnapps into ice-filled old-fashioned glass. Stir and top with syrup and lemon juice. Garnish with a peach slice.	Old-Fashioned Glass	6
Grandfather	6	Whiskies		1	oz	 Bourbon whiskey	1	oz	 Applejack	1	oz	 Sweet Vermouth	1	oz	 Angostura Bitters	1.00	oz	 Peychaud's Bitters				Cherry	Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Goldrush	6	Whiskies		2	count	 Bourbon whiskey	0.75	oz	 Fresh lemon juice	1	oz	 Honey Syrup											Shake and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Sake Martini	6	Cocktail Classics		1	oz	 Sake	3	oz	 Mr. Boston Gin													Olive	"Stir with ice, strain into 3-or 4-oz. cocktail glass and garnish with an olive."	Cocktail Glass	6
Godfather	6	Whiskies		1.5	oz	 Blended Scotch Whiskey	0.75	oz	 Amaretto														Pour into ice-filled old-fashioned glass and stir.	Old-Fashioned Glass	6
Jack-In-The-Box	6	Brandy		1	oz	 Applejack	1	oz	 Pineapple Juice	1	oz	 Angostura Bitters											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Saronno	6	Cocktail Classics		1	oz	 Amaretto di Saronno	1	oz	 Mr. Boston Five Star Brandy	1	oz	 Light cream											Shake well with cracked ice. Strain and serve in cocktail glass.	Cocktail Glass	6
Saronno Colada (Nutty Colada)	14	Cocktail Classics		3	oz	 Amaretto di Saronno	3	oz	 Coconut Milk	3	oz	 Crushed Pineapple											Put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. Pour into a collins glass and serve with a straw.	Collins Glass	14
Saronno Mist	6	Cocktail Classics		1.5	oz	 Amaretto di Saronno																"Lemon Twist, Lime Slice"	"Serve in an old-fashioned glass over crushed ice. Garnish with a lemon twist or a lime slice, if desired."	Old-Fashioned Glass	6
Saronno Rose	14	Cocktail Classics		1.5	oz	 Amaretto di Saronno	0.5	oz	 Roses Lime Juice	1	oz	 Club Soda											Pour Amaretto di Saronno and lime juice over ice in a collins glass and fill with club soda.	Collins Glass	14
Gilchrist	6	Whiskies		1.5	oz	 Blended Scotch Whiskey	0.75	oz	 Pear brandy	0.75	oz	 Grapefruit Juice	0.5	oz	 Amaro	2.00	oz	 Grapefruit bitters				Lemon Twist	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Frisco Sour	2	Whiskies		2	oz	 Bourbon or Rye Whiskey	0.75	oz	 Fresh lemon juice	0.5	oz	 Fresh Lime Juice	0.5	oz	 Benedictine							"Lemon Slice, Lime Slice"	Shake with ice and strain into chilled sour glass. Garnish with a lemon slice and a lime slice.	Cordial or Pony Glass	2
Fratelli Cocktail	6	Whiskies		2	oz	 Straight rye whiskey	0.5	oz	 Sweet Vermouth	0.5	oz	 Yellow Chartreuse	0.25	oz	 Fernet-Branca								Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Francis The Mule	6	Whiskies		2	oz	 Bourbon whiskey	0.5	oz	 Coffee liqueur	0.5	oz	 Fresh lemon juice	0.25	oz	 orgeat or almond syrup	1.00	oz	 Orange Bitters				Lemon Twist	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Fox River Cocktail	6	Whiskies		2	oz	 Bourbon or Rye Whiskey	0.5	oz	 Dark creme de cacao	4	oz	 Angostura Bitters											Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Flying Scotchman	6	Whiskies		1	oz	 Blended Scotch Whiskey	1	oz	 Sweet Vermouth	1	oz	 Angostura Bitters	0.25	oz	 Simple Syrup								Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
The Final Ward	6	Whiskies		0.75	oz	 Straight rye whiskey	0.75	oz	 Maraschino liqueur	0.75	oz	 Green Chartreuse	0.75	oz	 Fresh lemon juice								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Martini 	6	Cocktail Classics		1.5	oz	 Mr. Boston Gin	0.75	oz	 Dry Vermouth													Olive	Stir or shake over ice and strain into cocktail glass. Garnish with an olive. 	Cocktail Glass	6
Fancy Whiskey	6	Whiskies		2	oz	 Bourbon or rye whiskey	1	oz	 Angostura Bitters	0.25	oz	 Triple Sec	0.25	oz	 Simple Syrup							Lemon Twist	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Mandarine Sour	5	Cocktail Classics		2	oz	 Mandarine Napoleon Liqueur	1	oz	 Lemon Juice													"Cherry, Orange Slice"	Shake with ice and strain into a sour glass. Garnish with a cherry and an orange slice.	Sour Glass	5
Mandarine Mist	6	Cocktail Classics		1.5	oz	 Mandarine Napoleon Liqueur																Orange Twist	Pack an old-fashioned glass with finely crushed ice. Add Mandarine Napoleon Liqueur and garnish with an orange twist. Serve with short straws.	Old-Fashioned Glass	6
Underneath The Mango Tree	14	Vodka					1	oz	 Mango-flavored vodka	0.5	oz	 Peach liqueur	0.75	oz	 Fresh Lime Juice	0.50	oz	 Simple Syrup	2	oz	 Ginger ale	Sweet Chili Powder	Rim Collins glass with lime and sweet chili powder. Fill glass with ice. Shake next four ingredients with ice. Strain into glass. Top with ginger ale.	Collins Glass	14
Fancy-Free Cocktail	6	Whiskies		2	oz	 Bourbon whiskey	0.5	oz	 Maraschino liqueur	1	oz	 Angostura Bitters	1	oz	 Orange Bitters								Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Honeymoon Cocktail	6	Brandy		0.75	oz	 Apple Brandy	0.75	oz	 Benedictine	0.75	oz	 Fresh lemon juice	0.5	oz	 Triple Sec								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Twister	14	Vodka		2	oz	 Vodka	0.5	oz	 Fresh Lime Juice				1	oz	 Lemon-lime soda							Lime Slice	Pour vodka and lime juice into Collins glass. Add several ice cubes. Squeeze lime into glass and add. Fill with lemon-lime soda and stir.	Collins Glass	14
Everybody's Irish Cocktail	6	Whiskies		2	oz	 Irish Whiskey	1	oz	 Green creme de menthe	1	oz	 Green Chartreuse										Olive	Stir with ice and strain into chilled cocktail glass. Garnish with an olive.	Cocktail Glass	6
Trident	6	Vodka		1	oz	 Aquavit or vodka	0.5	oz	 Cynar	1	oz	 Dry Sherry	2	oz	 Peach bitters			 Lemon twist				Lemon Twist	Stir and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Top Banana	6	Vodka		1	oz	 Vodka	1	oz	 Creme de banana	2	oz	 Orange juice											Shake with ice and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Emperor Norton's Mistress	6	Whiskies		3	oz	" Fresh strawberries, cut in halves"	1.5	oz	 Bourbon whiskey	0.5	oz	 Vanilla liqueur	0.25	oz	 Triple Sec							Strawberry	Muddle halved strawberries in mixing glass. Add remaining ingredients. Shake with ice and double-strain into ice-filled oldfashioned glass. Garnish with a strawberry.	Old-Fashioned Glass	6
Easterner	6	Whiskies		2	oz	 Straight rye whiskey	1	oz	 Fresh grapefruit juice	0.5	oz	 Maple Syrup										Grapefruit Twist	Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.	Cocktail Glass	6
